Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1636570675.4372613,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.4621775,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.4871125,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.5121374,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.5372014,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.5621257,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.5873682,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.6121614,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.6372168,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.6621244,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.6871912,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.7121885,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.7372234,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.762205,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.7870936,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.8121955,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.8371642,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.8621855,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.8872516,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.9122522,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.9371495,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.9621394,0.0,0.0,0.0,0.0,0.0,0.0
1636570675.9873,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.012291,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.0389102,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.0621686,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.0872035,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.112173,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.1372857,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.1621568,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.1871617,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.2122636,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.2371745,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.262248,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.2871974,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.3122075,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.3372376,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.362203,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.3871174,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.4121363,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.4371645,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.4621277,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.4874756,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.512134,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.5371907,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.562113,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.5872343,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.6122384,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.6371386,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.6621883,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.6872268,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.7123506,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.7371473,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.7621307,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.7873564,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.812115,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.8372672,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.8621173,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.8873222,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.9122288,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.937241,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.9621327,0.0,0.0,0.0,0.0,0.0,0.0
1636570676.9873517,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.0122287,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.0371933,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.0622602,0.0,0.0,0.0,0.0,0.0,0.0
