Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10
1636570668.7844563,63728,1636570668,784359262,joystick,-0.7668386101722717,0.1501815915107727,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.8030045,63729,1636570668,802822364,joystick,-0.0791039764881134,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.8178275,63730,1636570668,817697434,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.8345847,63731,1636570668,834374490,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.851272,63732,1636570668,851051958,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.867867,63733,1636570668,867716902,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.884615,63734,1636570668,884428014,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.901226,63735,1636570668,901025692,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.9180653,63736,1636570668,917945292,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.934484,63737,1636570668,934358085,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.9511545,63738,1636570668,951025961,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.9678884,63739,1636570668,967692463,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570668.984557,63740,1636570668,984388029,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.0011277,63741,1636570669,1024220,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.0178337,63742,1636570669,17707707,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.034469,63743,1636570669,34357981,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.0511496,63744,1636570669,51025478,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.0677996,63745,1636570669,67685853,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.0845122,63746,1636570669,84358739,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.101193,63747,1636570669,101052395,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.1178677,63748,1636570669,117704135,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.1344657,63749,1636570669,134357911,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.151294,63750,1636570669,151038161,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.167859,63751,1636570669,167706367,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.186407,63752,1636570669,186266139,joystick,0.02371288277208805,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.2029312,63753,1636570669,202795676,joystick,0.0948515310883522,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.221031,63754,1636570669,218806575,joystick,0.2055116444826126,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.2349558,63755,1636570669,234802535,joystick,0.2608416974544525,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.2527823,63756,1636570669,251149701,joystick,0.2924588620662689,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.2677991,63757,1636570669,267690377,joystick,0.3240760564804077,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.2845254,63758,1636570669,284380418,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.3012483,63759,1636570669,301063160,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.3180087,63760,1636570669,317710786,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.334552,63761,1636570669,334365726,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.3511448,63762,1636570669,351031756,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.367799,63763,1636570669,367683864,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.3845387,63764,1636570669,384366107,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.401153,63765,1636570669,401032031,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.4179363,63766,1636570669,417704311,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.4346771,63767,1636570669,434415690,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.4511397,63768,1636570669,451031145,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.467906,63769,1636570669,467736779,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.4853144,63770,1636570669,485119360,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.5012076,63771,1636570669,501033817,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.5194972,63772,1636570669,517691098,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.5345676,63773,1636570669,534359018,joystick,0.3319803476333618,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.5511894,63774,1636570669,551036471,joystick,0.2924588620662689,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.5678663,63775,1636570669,567730684,joystick,0.22922451794147491,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.5844507,63776,1636570669,584371251,joystick,0.2055116444826126,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.6029441,63777,1636570669,602801402,joystick,0.1422772854566574,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.6190052,63778,1636570669,618810754,joystick,0.0869472324848175,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570669.634916,63779,1636570669,634796010,joystick,0.007904293946921825,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
